# M_red = 0.333
# r   H0R/R  dR/R  d2R/R tot.
2.433105e+01   -9.343228e-04 1.084834e-03   1.504332e-03 6.135793e-03   -5.778487e-04 1.839479e-03 -7.839328e-06 3.211479e-03
7.071068e+00   -9.512176e-03 5.163999e-03   -3.542633e-03 1.076408e-03   -8.877931e-04 3.978186e-04 -1.394260e-02 5.842588e-03
7.810250e+00   -1.099927e-02 4.105657e-03   -3.886465e-03 8.781530e-04   -1.262764e-03 2.611494e-04 -1.614850e-02 4.722661e-03
8.602325e+00   -1.155004e-02 2.970192e-03   -4.361621e-03 7.062699e-04   -1.403637e-03 2.926928e-04 -1.731530e-02 3.383769e-03
9.433981e+00   -9.248070e-03 1.772240e-03   -4.133813e-03 9.375477e-04   -1.417101e-03 6.384050e-04 -1.479898e-02 2.071383e-03
1.029563e+01   -7.044987e-03 1.116449e-03   -3.682981e-03 1.256273e-03   -1.423325e-03 1.048327e-03 -1.215129e-02 1.324395e-03
1.118034e+01   -4.795701e-03 7.559107e-04   -3.252886e-03 1.529642e-03   -1.383973e-03 1.368017e-03 -9.432559e-03 5.942852e-04
1.208305e+01   -5.935153e-03 6.178301e-04   -3.028061e-03 1.126933e-03   -1.504239e-03 1.167693e-03 -1.046745e-02 6.585903e-04
1.300000e+01   -8.715617e-04 1.895189e-03   -3.198337e-03 7.562011e-04   -8.411555e-04 9.124270e-04 -4.911054e-03 2.051415e-03
1.392839e+01   -1.663866e-03 2.887056e-03   -3.272667e-03 6.942336e-04   -4.365136e-04 8.331086e-04 -5.373047e-03 3.025931e-03
1.486607e+01   -2.292059e-04 2.662623e-03   -3.151192e-03 5.767409e-04   -1.562405e-04 5.400445e-04 -3.536638e-03 2.625926e-03
1.581139e+01   -6.002638e-04 4.916589e-04   -3.038708e-03 6.968492e-04   -1.127423e-04 3.491139e-04 -3.751714e-03 8.393943e-04
1.676305e+01   -6.218271e-04 2.958922e-04   -2.558570e-03 5.290861e-04   -2.259835e-05 3.523172e-04 -3.202996e-03 1.191233e-04
1.772005e+01   1.856026e-03 3.057182e-04   -1.638518e-03 2.530859e-05   -1.736673e-05 2.300626e-04 2.001418e-04 5.610894e-04
1.868154e+01   -7.220789e-04 4.899819e-04   -7.547264e-04 8.403749e-04   -5.269356e-04 8.722010e-05 -2.003741e-03 2.631730e-04
1.964688e+01   -1.335307e-03 1.234093e-03   -2.162976e-04 1.977311e-03   -7.059015e-04 5.130241e-04 -2.257506e-03 2.301934e-04
2.061553e+01   -7.970746e-04 2.705673e-03   1.445008e-05 2.893119e-03   -5.762500e-04 6.831326e-04 -1.358875e-03 4.956866e-04
2.158703e+01   5.930295e-04 9.312987e-04   1.778826e-04 3.770840e-03   -3.531222e-04 7.089451e-04 4.177899e-04 2.130596e-03
2.256103e+01   1.510638e-03 1.700727e-03   5.802599e-04 4.573075e-03   -1.918715e-04 1.239160e-03 1.899026e-03 1.633189e-03
2.353720e+01   -4.770780e-04 1.930904e-03   9.951672e-04 5.287646e-03   -1.728183e-04 1.768895e-03 3.452708e-04 1.587846e-03
2.451530e+01   1.930903e-03 6.968449e-04   1.255558e-03 5.570443e-03   -1.370298e-05 1.882342e-03 3.172758e-03 2.991256e-03
8.485281e+00   -1.052994e-02 5.390022e-03   -4.317482e-03 8.020068e-04   -1.271690e-03 3.694190e-05 -1.611911e-02 6.228971e-03
9.219544e+00   -9.458913e-03 1.217301e-03   -4.267366e-03 7.896918e-04   -1.316849e-03 2.418219e-04 -1.504313e-02 1.765170e-03
1.000000e+01   -6.517091e-03 1.530857e-04   -3.715757e-03 8.131593e-04   -1.354205e-03 4.290279e-04 -1.158705e-02 2.310458e-04
1.081665e+01   -5.377930e-03 1.909013e-05   -3.392284e-03 9.593928e-04   -1.121221e-03 6.449366e-04 -9.891434e-03 2.953661e-04
1.166190e+01   -2.825667e-03 1.944875e-04   -2.820335e-03 1.234980e-03   -8.419869e-04 9.228314e-04 -6.487989e-03 1.176608e-04
1.252996e+01   -1.364246e-03 6.143089e-04   -2.333267e-03 1.111852e-03   -9.286911e-04 9.093138e-04 -4.626204e-03 8.168467e-04
1.341641e+01   -2.443722e-04 3.113297e-04   -2.397802e-03 8.143839e-04   -6.883491e-04 7.054799e-04 -3.330523e-03 2.024257e-04
1.431782e+01   3.471245e-04 6.785035e-04   -2.511752e-03 9.595685e-04   -5.073143e-04 6.730937e-04 -2.671941e-03 3.920287e-04
1.523155e+01   1.768456e-05 6.618356e-04   -2.477443e-03 9.708818e-04   -4.507471e-04 5.576476e-04 -2.910506e-03 1.075070e-03
1.615549e+01   1.040602e-03 1.998912e-04   -2.553026e-03 1.087766e-03   3.651720e-05 5.442534e-04 -1.475907e-03 3.436217e-04
1.708801e+01   1.087664e-03 7.949018e-04   -2.085232e-03 9.179200e-04   8.908037e-05 5.012207e-04 -9.084878e-04 3.782025e-04
1.802776e+01   -4.272463e-04 1.181503e-03   -1.238494e-03 8.310779e-06   -3.240962e-04 2.442713e-04 -1.989836e-03 1.434085e-03
1.897367e+01   -1.600910e-03 1.069824e-03   -7.031855e-04 8.712344e-04   -5.093903e-04 3.095923e-05 -2.813485e-03 1.910099e-03
1.992486e+01   -2.654052e-03 1.465787e-03   -2.202236e-04 1.713125e-03   -5.743817e-04 1.638194e-04 -3.448658e-03 3.015092e-03
2.088061e+01   -9.530191e-04 2.079400e-03   -2.561027e-04 2.466448e-03   -3.360524e-04 2.907689e-04 -1.545174e-03 4.255079e-03
2.184033e+01   7.674136e-04 8.274192e-04   -3.853086e-04 3.491109e-03   1.770758e-05 8.036277e-04 3.998126e-04 3.514900e-03
2.280351e+01   2.678717e-04 6.155839e-04   -1.800641e-05 4.103135e-03   7.449644e-05 1.329694e-03 3.243617e-04 2.157857e-03
2.376973e+01   6.709900e-04 2.296294e-03   5.512113e-04 4.891972e-03   4.404468e-05 1.968765e-03 1.266246e-03 6.269120e-04
2.473863e+01   1.601225e-03 3.644598e-04   7.553643e-04 5.274437e-03   1.408146e-04 2.115884e-03 2.497404e-03 2.794093e-03
9.899495e+00   -6.326099e-03 3.292327e-04   -3.505909e-03 7.881110e-04   -1.348228e-03 3.446063e-04 -1.118024e-02 1.142720e-04
1.063015e+01   -4.023329e-03 1.144688e-03   -2.455556e-03 6.796571e-04   -1.438210e-03 4.244054e-04 -7.917095e-03 8.894364e-04
1.140175e+01   -2.460996e-03 5.222132e-04   -2.101983e-03 6.137544e-04   -9.222037e-04 3.981872e-04 -5.485183e-03 3.066460e-04
1.220656e+01   -1.369505e-03 9.146057e-04   -1.867890e-03 7.672715e-04   -4.894440e-04 6.571193e-04 -3.726839e-03 8.044534e-04
1.303840e+01   -3.902465e-04 5.028226e-05   -1.729154e-03 1.065289e-03   -5.054106e-04 8.122792e-04 -2.624811e-03 3.032917e-04
1.389244e+01   1.037780e-04 4.841417e-04   -1.840126e-03 1.139511e-03   -4.895649e-04 8.060920e-04 -2.225913e-03 1.507231e-04
1.476482e+01   2.431225e-04 1.621192e-03   -1.990453e-03 1.102927e-03   -5.740028e-04 9.098645e-04 -2.321333e-03 1.428129e-03
1.565248e+01   -2.890448e-04 4.224734e-04   -2.059579e-03 1.133771e-03   -5.153110e-04 7.440317e-04 -2.863935e-03 3.273404e-05
1.655295e+01   1.981200e-03 5.907127e-05   -1.962680e-03 1.338981e-03   5.716905e-05 5.323750e-04 7.568879e-05 8.656771e-04
1.746425e+01   1.251571e-03 5.713308e-04   -1.604307e-03 1.084136e-03   4.130883e-05 5.350772e-04 -3.114272e-04 2.227201e-05
1.838478e+01   2.398797e-04 6.191718e-04   -1.013091e-03 2.795901e-04   -1.572827e-04 2.967738e-04 -9.304940e-04 6.363555e-04
1.931321e+01   -2.687918e-03 5.942361e-04   -9.244228e-04 7.156195e-04   -1.174066e-04 1.973493e-05 -3.729747e-03 1.290121e-03
2.024846e+01   -1.125387e-03 6.741520e-04   -7.878012e-04 1.656911e-03   6.510801e-05 2.899132e-04 -1.848080e-03 2.041150e-03
2.118962e+01   -7.454480e-04 3.257962e-04   -4.771808e-04 2.530274e-03   -9.915443e-05 5.919939e-04 -1.321783e-03 2.264077e-03
2.213594e+01   3.828060e-08 2.020064e-03   -3.945167e-04 3.188430e-03   -1.590878e-04 7.564205e-04 -5.535663e-04 4.452073e-03
2.308679e+01   -1.299131e-03 1.307236e-03   -1.957806e-04 3.539565e-03   -2.155136e-04 1.168880e-03 -1.710425e-03 1.063448e-03
2.404163e+01   -1.077071e-04 2.131246e-04   1.375489e-04 4.308188e-03   -5.049763e-05 1.687049e-03 -2.065584e-05 2.408015e-03
2.500000e+01   8.300051e-04 1.268930e-03   3.910870e-05 4.812002e-03   2.156289e-04 2.125075e-03 1.084743e-03 1.417998e-03
